split,problem_id,beam_search,best_of_n,map_elites,mcts
chem_react,CRK2,8.997164678730678,8.237353486317469,8.999890239773165,8.999146532153159
chem_react,CRK20,6.06466814492152,4.468626887300706,7.1540781225936625,6.421440953064978
chem_react,CRK21,7.0333035716109125,4.439259988790948,8.436954290762346,8.286058648033606
chem_react,CRK22,7.962582744824362,7.034431996694464,8.135611922516876,7.922262956680061
chem_react,CRK23,6.494620071005046,5.860476815434467,8.491928450637486,7.090679919510302
chem_react,CRK24,8.543656196863225,8.495684121896884,8.999389528422801,8.89701642533509
chem_react,CRK25,8.942565194740338,6.898774774062819,8.829512025598248,8.99127335794452
chem_react,CRK26,7.469384220962735,4.667162488491309,8.64413296476016,8.59564966941498
chem_react,CRK27,7.6856325763128766,7.3450524372672765,8.59616359364539,8.487734683253525
chem_react,CRK28,6.629037646432849,6.468357511261089,7.626401030423974,7.631881412922202
chem_react,CRK29,7.458297662935776,6.8839214029636135,7.265369628568063,6.775389684995977
chem_react,CRK3,6.869171058420838,6.297291185499964,7.793891991059332,7.035683985788931
chem_react,CRK30,7.688559071374253,7.666648076986099,8.214179943392061,7.736622250325828
chem_react,CRK31,7.982310435751603,7.242044056229128,8.967350367647027,8.963177394547722
chem_react,CRK32,7.832486234610299,6.2020058823510995,7.930047540564189,7.604946553565267
chem_react,CRK33,7.389100521658149,8.175283158040317,8.811915953976648,8.8685236677162
chem_react,CRK34,7.837146792970299,6.736454162714018,8.992890004061438,8.6070641244915
chem_react,CRK35,6.495863569687548,6.485687363046266,7.320605532168798,6.146157373440535
chem_react,CRK4,8.235540680118493,6.469440310757656,8.52152689582397,7.034291613515267
chem_react,CRK5,8.726990517498024,7.9900587082374495,8.844425447802804,8.662054611833677
chem_react,CRK6,6.4716357188606555,4.905096202273201,7.339782148006864,7.0083312925205465
chem_react,CRK7,7.125747567121485,7.726305565655792,7.6476248059882845,7.650939818722998
chem_react,CRK8,8.99116529098658,7.998056627511007,8.9969515584431,8.898420419748287
chem_react,CRK9,8.984056167068228,6.816695325990826,8.970088018831179,8.229700140124027
matsci,MatSci0,1.1863297326414084,0.07179060383518986,1.3888736302410354,0.04466238505552745
matsci,MatSci1,0.1475269768339404,-0.044286493759044664,0.131893660278545,-0.1639034983282071
matsci,MatSci10,0.8296811796685314,-3.602959464375253,1.6813485407332431,0.40385489376487677
matsci,MatSci11,1.0856646088250343,-0.1553751282675885,0.8292142214506543,-0.1547955131627601
matsci,MatSci12,2.1457283833907326,0.06301589422283721,2.37805372747826,2.210999956868368
matsci,MatSci13,3.9693865127431716,3.9693590479012926,3.9783052979837144,3.9693855780910896
matsci,MatSci14,1.196501905171066,0.12993616518468934,4.565787587436483,1.0233732780081968
matsci,MatSci16,2.6827192270686604,2.662195901484304,2.689436402731949,2.6828540475181812
matsci,MatSci18,4.5018171316197755,2.547714220359185,4.6785142108174504,4.651383745978014
matsci,MatSci19,3.4350027499755758,1.1587527889142362,5.806723013954485,1.9820925761217574
matsci,MatSci2,1.421392862854452,1.417789034554239,3.8782355548914653,4.198046672015571
matsci,MatSci20,4.3193486141355395,0.27046274608449733,2.4653967161879438,2.062659736075317
matsci,MatSci21,3.2647511588350344,0.12263885106477723,8.525497033894107,1.7305760809259194
matsci,MatSci22,-0.45931793938582754,-0.534203157064681,0.0,-0.4593230759525784
matsci,MatSci23,2.0471754164217826,1.2113192036744638,2.6044199872564815,1.219286265159716
matsci,MatSci24,4.477263645254424,1.6708804622412068,3.537697692181672,1.8366114368468807
matsci,MatSci3,0.05242685316359074,-1.5121561120616223,0.06495037929752538,0.7088546127513072
matsci,MatSci4,5.709737193733894,2.049773138795369,5.333781671091704,3.9106400071876295
matsci,MatSci5,1.0728219402088441,-0.3968314293668559,2.0250091284367624,0.0
matsci,MatSci6,3.532013916447081,2.5580948619429016,4.682983949699998,4.762397918356509
matsci,MatSci7,5.989060342524608,1.9679291401794683,4.411373858196846,5.105046614702881
matsci,MatSci8,1.6491747876444347,1.5861208936798892,3.180329416696609,1.6361908072095777
