split,problem_id,problem_index,strategy,strategy_raw,combined_score,mse_train_score,raw_mse_train,negative_mse,iteration,generation,can_run,optimization_success,program_id,parent_id,result_file
phys_osc,PO25,25,map_elites,openevolve,8.999724680488013,,,-6.341475907298835e-13,198,3,,False,d9b28128-3614-44f1-a90b-db77c6bdb5c3,56ba3f65-180f-47ce-9c16-73fec6a89ee7,problems/phys_osc/PO25/openevolve_output/best/best_program_info.json
phys_osc,PO26,26,beam_search,beam_search,3.734537051204851,,,-0.00018427252719728924,23,3,,False,8de50d06-d8b6-49f9-855d-6ed7234e821d,bfa8ff9a-9517-4484-8943-69f2567c0264,problems/phys_osc/PO26/openevolve_output/beam_search/best/best_program_info.json
phys_osc,PO26,26,best_of_n,best_of_n,1.837044884399327,,,-0.014553085664422134,9,2,,False,70b22733-9b73-4a81-9368-61880966153a,7b16aa17-58dc-44c2-9040-6a3f74ff557e,problems/phys_osc/PO26/openevolve_output/best_of_n/best/best_program_info.json
phys_osc,PO26,26,map_elites,openevolve,4.027561870936557,,,-9.384983243461245e-05,162,6,,False,28994742-fc61-4007-9ad2-70e1fd00feb4,ff41f007-e2b5-49ee-988b-fd69d9112ce4,problems/phys_osc/PO26/openevolve_output/best/best_program_info.json
phys_osc,PO27,27,beam_search,beam_search,5.632876813724781,,,-2.327751707151671e-06,33,5,,False,73dca273-0b17-4dbf-890c-4921215e6dc1,273b0cc5-ad5b-4560-a0ce-0b75918bec7c,problems/phys_osc/PO27/openevolve_output/beam_search/best/best_program_info.json
phys_osc,PO27,27,best_of_n,best_of_n,4.446760014051151,,,-3.5746031741675416e-05,1,1,,False,e8a0a2cf-bb29-47e5-9a21-8c6714b4076e,465b7801-dcc7-4f01-bd53-0d26a2ce571e,problems/phys_osc/PO27/openevolve_output/best_of_n/best/best_program_info.json
phys_osc,PO27,27,map_elites,openevolve,6.390249893466269,,,-4.061459382230731e-07,170,8,,False,d07f1cfc-7491-4788-b7a9-fea667a3cf8f,dd4ca096-b522-4f36-8e70-81a9dc5e6209,problems/phys_osc/PO27/openevolve_output/best/best_program_info.json
phys_osc,PO28,28,beam_search,beam_search,6.21734011414311,,,-6.052613550444929e-07,52,8,,False,1dcfc703-2c1d-47f3-a0b0-f0c03605b96c,992f6720-bea3-4e75-8c6d-015ca52da504,problems/phys_osc/PO28/openevolve_output/beam_search/best/best_program_info.json
phys_osc,PO28,28,best_of_n,best_of_n,6.042355119209644,,,-9.060785158241653e-07,9,2,,False,316c6fe6-801e-41ba-a3e1-e4e3568b513d,2270c48d-5887-4684-800e-c4e600a4756d,problems/phys_osc/PO28/openevolve_output/best_of_n/best/best_program_info.json
phys_osc,PO28,28,map_elites,openevolve,6.337320456444086,,,-4.5891708554080745e-07,188,9,,False,bf2c80d4-c2f1-4ba9-83ac-f17dbd399eaa,271d9e43-fd4a-4cc3-810e-f6975fa66ac0,problems/phys_osc/PO28/openevolve_output/best/best_program_info.json
phys_osc,PO29,29,beam_search,beam_search,4.177768200208841,,,-6.640874303538374e-05,29,4,,False,3690985d-2db8-4e7b-a611-c1fe13c08ac9,711739cd-7ae7-4d11-894d-765325d9af24,problems/phys_osc/PO29/openevolve_output/beam_search/best/best_program_info.json
phys_osc,PO29,29,best_of_n,best_of_n,3.323059725665915,,,-0.0004752688607078104,9,2,,False,21878939-403b-44b2-91c8-0fc3a5bb7f41,82010e4b-8a70-4673-8db8-42383f668fef,problems/phys_osc/PO29/openevolve_output/best_of_n/best/best_program_info.json
