split,problem_id,problem_index,strategy,strategy_raw,combined_score,mse_train_score,raw_mse_train,negative_mse,iteration,generation,can_run,optimization_success,program_id,parent_id,result_file
bio_pop_growth,BPG23,23,best_of_n,best_of_n,1.339596448691418,,,-0.04575131084863409,9,2,,False,e5d78550-a7da-4978-9d1b-0f5af2ab5970,2fa02d72-e071-4748-8640-2bc45f40fbea,problems/bio_pop_growth/BPG23/openevolve_output/best_of_n/best/best_program_info.json
bio_pop_growth,BPG23,23,map_elites,openevolve,2.2801934136088913,,,-0.005245736886058227,199,4,,False,72ad9286-603c-4fcc-9ba2-eca72bff841e,351bd762-f72f-4cd2-ae65-2430288aa0c7,problems/bio_pop_growth/BPG23/openevolve_output/best/best_program_info.json
chem_react,CRK0,0,beam_search,beam_search,8.831501513409343,,,-4.740034044259104e-10,54,7,,False,a16964fe-d6d4-40bd-910c-e279ee568896,8de2aecc-12ab-48c8-9faa-6e2eeb42deeb,problems/chem_react/CRK0/openevolve_output/beam_search/best/best_program_info.json
chem_react,CRK0,0,mcts,mcts,8.981362786390244,,,-4.384788020996173e-11,76,3,,False,0f37e2db-0265-4028-a6cd-6ad11d93e397,b28715b5-fbc0-43f0-bb0b-78ff256676b0,problems/chem_react/CRK0/openevolve_output/mcts/best/best_program_info.json
chem_react,CRK0,0,best_of_n,best_of_n,7.669886202279434,,,-2.0385223708333498e-08,1,1,,False,eddf35f4-b756-404e-8601-776049962c7d,54ee77b3-9c69-4fd7-ab6d-af9e6e2cd250,problems/chem_react/CRK0/openevolve_output/best_of_n/best/best_program_info.json
chem_react,CRK0,0,map_elites,openevolve,8.97687740724217,,,-5.468457100687638e-11,131,4,,False,659b1dfe-0c6b-4a9c-9834-e3373fa039d6,95e5d16f-2aed-417e-9c3d-b68fa3bdf382,problems/chem_react/CRK0/openevolve_output/best/best_program_info.json
chem_react,CRK1,1,beam_search,beam_search,8.067955293002928,,,-7.551547394065229e-09,10,2,,False,a182b3be-de9f-4c6d-b9c8-fded230206f5,5dd6ba61-7edb-46ff-aa33-fa1386037de1,problems/chem_react/CRK1/openevolve_output/beam_search/best/best_program_info.json
chem_react,CRK1,1,mcts,mcts,8.990448493763395,,,-2.2236788131207088e-11,16,2,,False,67e0e569-8a79-4cc4-a250-3f7fa8796c02,555f325a-f3eb-42e0-b816-df3115583847,problems/chem_react/CRK1/openevolve_output/mcts/best/best_program_info.json
chem_react,CRK1,1,best_of_n,best_of_n,6.632672883169838,,,-2.3198454699436426e-07,9,2,,False,7356264e-b7a2-454d-a5f5-f35c1db7ae21,3d9df73c-1827-43fd-a121-b9d48a0be399,problems/chem_react/CRK1/openevolve_output/best_of_n/best/best_program_info.json
chem_react,CRK1,1,map_elites,openevolve,8.940726571104122,,,-1.462343757994116e-10,176,6,,False,4dc37f90-a255-4058-9b32-662fa309ffce,1e9d87fe-3fd3-471d-8d86-6e68033d5ebe,problems/chem_react/CRK1/openevolve_output/best/best_program_info.json
chem_react,CRK2,2,beam_search,beam_search,8.967974935130352,,,-7.652734253085356e-11,3,1,,False,bab9fcec-9dd0-4d9f-928d-63d8069188e5,a23e5d51-309f-45e7-ae58-b6ce377dd5de,problems/chem_react/CRK2/openevolve_output/beam_search/best/best_program_info.json
chem_react,CRK2,2,mcts,mcts,8.999869602937679,,,-3.0029541151167383e-13,60,3,,False,0bdc915f-a159-40f3-a99c-3cbf4dbeaf48,e99a13bf-c532-4a0f-ac34-b381b8339e8c,problems/chem_react/CRK2/openevolve_output/mcts/best/best_program_info.json
chem_react,CRK2,2,best_of_n,best_of_n,7.825161970517078,,,-1.3956777377072316e-08,1,1,,False,6d60fba4-172a-4c79-882e-d77095faba24,86de9efa-1aef-4cc5-8e3b-287a2c42d2fd,problems/chem_react/CRK2/openevolve_output/best_of_n/best/best_program_info.json
chem_react,CRK2,2,map_elites,openevolve,8.999792559052862,,,-4.777645256877211e-13,100,4,,False,10cabff7-91b3-451b-9f2f-4200b201d2d4,ad441ef1-a142-4cb9-9bac-077a02a6a003,problems/chem_react/CRK2/openevolve_output/best/best_program_info.json
chem_react,CRK3,3,beam_search,beam_search,6.697946888480555,,,-1.9947171768420535e-07,57,8,,False,f117ddad-de33-4110-b7ee-a6b8ec1dcb3c,9134e685-c4b5-4505-b31f-6139aa43bc9c,problems/chem_react/CRK3/openevolve_output/beam_search/best/best_program_info.json
chem_react,CRK3,3,mcts,mcts,6.949667166545862,,,-1.1128786734156834e-07,23,2,,False,db270c17-5da2-43f8-be9b-d00c80f46fcb,d8714b4c-6f6a-455a-95c2-da8622a2e435,problems/chem_react/CRK3/openevolve_output/mcts/best/best_program_info.json
chem_react,CRK3,3,best_of_n,best_of_n,4.771973456903529,,,-1.6904442507269437e-05,9,2,,False,34a6d4b2-946c-42e5-a263-dd56c02ef4ef,03afb352-01ed-49cc-8a2a-4c6f9dc72cad,problems/chem_react/CRK3/openevolve_output/best_of_n/best/best_program_info.json
chem_react,CRK3,3,map_elites,openevolve,7.000886767203979,,,-9.879602262269656e-08,119,4,,False,fdb58148-5248-40c5-8ace-121c57059f29,af103d06-5425-4616-a5c2-be8865d1ab0d,problems/chem_react/CRK3/openevolve_output/best/best_program_info.json
chem_react,CRK4,4,beam_search,beam_search,7.544612814750836,,,-2.7535611605787506e-08,55,7,,False,eeef666e-0fb5-4786-993b-17be53a1e5b3,a4d18f69-80fe-40db-af1e-ad18b51ea7b7,problems/chem_react/CRK4/openevolve_output/beam_search/best/best_program_info.json
chem_react,CRK4,4,mcts,mcts,8.344723574455045,,,-3.521436392219803e-09,65,3,,False,b512c872-fdcb-4427-91d4-09cca6947bc2,5e616c55-60fb-4601-96b3-12d8d1654668,problems/chem_react/CRK4/openevolve_output/mcts/best/best_program_info.json
chem_react,CRK4,4,best_of_n,best_of_n,6.217905015495046,,,-6.044732832782282e-07,9,2,,False,9bbced94-ceb0-4fbc-82f6-39bfb25bcedd,7396a499-565e-48ae-8f5e-830c1386e820,problems/chem_react/CRK4/openevolve_output/best_of_n/best/best_program_info.json
